Bundestagswahl 2013,Bundestagswahl 2017,Stimmen,Quelle
Union,Union,11090000,https://www.tagesschau.de/wahl/archiv/2017-09-24-BT-DE/index.shtml
Union,SPD,800000,
Union,Linke,200000,
Union,Grüne,330000,
Union,FDP,1620000,
Union,AfD,1040000,
Union,Andere,200000,
Union,Nichtwähler,1610000,
Union,Wegzug Verstorben,1290000,
SPD,Union,820000,
SPD,SPD,5920000,
SPD,Linke,700000,
SPD,Grüne,760000,
SPD,FDP,550000,
SPD,AfD,510000,
SPD,Andere,200000,
SPD,Nichtwähler,1030000,
SPD,Wegzug Verstorben,760000,
Linke,Union,110000,
Linke,SPD,270000,
Linke,Linke,1980000,
Linke,Grüne,160000,
Linke,FDP,90000,
Linke,AfD,420000,
Linke,Andere,220000,
Linke,Nichtwähler,290000,
Linke,Wegzug Verstorben,220000,
Grüne,Union,300000,
Grüne,SPD,380000,
Grüne,Linke,330000,
Grüne,Grüne,1870000,
Grüne,FDP,160000,
Grüne,AfD,50000,
Grüne,Andere,130000,
Grüne,Nichtwähler,330000,
Grüne,Wegzug Verstorben,140000,
FDP,Union,260000,
FDP,SPD,100000,
FDP,Linke,30000,
FDP,Grüne,50000,
FDP,FDP,1220000,
FDP,AfD,120000,
FDP,Andere,40000,
FDP,Nichtwähler,130000,
FDP,Wegzug Verstorben,130000,
AfD,Union,60000,
AfD,SPD,40000,
AfD,Linke,20000,
AfD,Grüne,10000,
AfD,FDP,80000,
AfD,AfD,1430000,
AfD,Andere,40000,
AfD,Nichtwähler,270000,
AfD,Wegzug Verstorben,100000,
Andere,Union,140000,
Andere,SPD,190000,
Andere,Linke,170000,
Andere,Grüne,90000,
Andere,FDP,180000,
Andere,AfD,730000,
Andere,Andere,870000,
Andere,Nichtwähler,270000,
Andere,Wegzug Verstorben,80000,
Nichtwähler,Union,1990000,
Nichtwähler,SPD,1390000,
Nichtwähler,Linke,560000,
Nichtwähler,Grüne,560000,
Nichtwähler,FDP,830000,
Nichtwähler,AfD,1470000,
Nichtwähler,Andere,430000,
Nichtwähler,Nichtwähler,10200000,
Nichtwähler,Wegzug Verstorben,790000,
Zuzug,Union,70000,
Zuzug,SPD,30000,
Zuzug,Linke,10000,
Zuzug,Grüne,10000,
Zuzug,FDP,30000,
Zuzug,AfD,20000,
Zuzug,Andere,10000,
Zuzug,Nichtwähler,60000,
Neuwähler,Union,480000,
Neuwähler,SPD,380000,
Neuwähler,Linke,220000,
Neuwähler,Grüne,320000,
Neuwähler,FDP,240000,
Neuwähler,AfD,130000,
Neuwähler,Andere,190000,
Neuwähler,Nichtwähler,1000000,
